No;Kode;Mentah;"Sumber
TKPI 2019";Air;Energi;Protein;Lemak;Karbohidrat;Serat;Abu;"Kalsium
Ca";"Fosfor
P";"Besi
Fe";"Natrium
Na";"Kalium
Ka";"Tembaga
Cu";"Seng
Zn";"Retino
Vit A";B-Kar;"Karoten
Total";"Thiamin
Vit. B1";"Ribovlavin
Vit. B2";Niasin;Vitamin C;BDD;Kelompok Makanan;Regulasi;;;;;;;;
;;;;(g);(kal);(g);(g);(g);(g);(g);(mg);(mg);(mg);(mg);(mg);(mg);(mg);(mcg);(mcg);(mcg);(mg);(mg);(mg);(mg);(%);;;;;;;;;;
318;CP074;Olahan;Tempe kecipir (kacang belimbing);58,2;212;17,5;10;12,9;2,9;1,4;186;160;2,2;-;-;-;-;-;-;-;0,2;-;-;-;100;Kacang;KZGPI-1990;;;;;;;;
319;CP075;Olahan;Tempe kedelai + jagung;70,6;143;12;5,5;11,4;1,9;0,6;155;156;6,8;-;-;-;-;-;-;1.320;0,33;0,15;1,2;-;100;Kacang;KZGPI-1990;;;;;;;;
320;CP076;Olahan;Tempe kedelai murni, goreng;36,8;350;24,5;26,6;10,4;4,2;1,8;202;296;4,9;22;626,7;0,8;2,5;-;-;78;0,24;0,6;3,3;-;100;Kacang;KZGPI-1990;;;;;;;;
321;CP077;Olahan;Tempe kedelai murni, mentah;55,3;201;20,8;8,8;13,5;1,4;1,6;155;326;4;9;234;0,57;1,7;-;-;-;0,19;0,59;4,9;-;100;Kacang;KZGPI-1990;;;;;;;;
322;CP078;Olahan;Tempe koro benguk;64;141;10,2;1,3;23,2;-;1,3;42;15;2,6;-;-;-;-;-;-;-;0,09;-;-;-;100;Kacang;DABM-1964;;;;;;;;
323;CP079;Olahan;Tempe lamtoro;66,8;128;10,7;0,5;21,3;7,1;0,7;203;108;0,6;-;-;-;-;-;-;121;0,17;-;-;2;100;Kacang;KZGPI-1990;;;;;;;;
324;CP080;Olahan;Tempe lamtoro var. gung dengan kulit;65,1;146;11,7;2,3;19,6;7,6;1,3;128;41;6,8;-;-;-;-;-;-;1.370;0,19;-;1,4;-;100;Kacang;KZGPI-1990;;;;;;;;
325;CP081;Olahan;Tempe lamtoro var. gung tanpa kulit;67,1;131;18;0,8;13;1,3;1,1;95;154;12,4;-;-;-;-;-;-;5.900;0,2;0,02;2,6;-;100;Kacang;KZGPI-1990;;;;;;;;
326;CP082;Olahan;Tempe pasar;68,3;150;14;7,7;9,1;1,4;0,9;517;202;1,5;7;165,9;0,4;1,2;-;-;-;0,17;0,44;3,6;-;100;Kacang;KZGPI-1990;;;;;;;;
327;CP083;Olahan;Tempe pasar goreng;42,9;336;20;28;7,8;3,4;1,3;156;350;3;20;566,2;0,8;2,2;-;-;10;0,1;0,5;3;-;100;Kacang;KZGPI-1990;;;;;;;;
328;CP084;Olahan;Tepung hunkwe (pati kacang ijo);10;364;4,5;1;83,5;16,1;1;50;100;1;15;1.232,90;0,93;2,7;-;-;-;-;0,23;2,2;-;100;Kacang;DABM-1964;;;;;;;;
329;CP085;Olahan;Tepung Jalejo;10;388;19;7,5;61,2;5,8;2,3;101;663;2;3;712;0,6;1,9;-;1.000;0,1;0,02;0,7;1,6;9;100;Kacang;BKP;;;;;;;;
330;CP086;Olahan;Tepung kacang kedelai;9;347;35,9;20,6;29,9;5,8;4;195;544;8,4;52;2.522,60;4.303,45;2,6;-;-;140;0,77;0,32;2,1;-;100;Kacang;DABM-1964;;;;;;;;
331;CR001;Tunggal;Kacang arab, kering;11,6;330;23,8;1,4;60,2;17,4;3;57;388;4,7;24;874,3;0,85;3,4;-;40;140;0,77;0,21;1,5;2;100;Kacang;DABM-1964;;;;;;;;
332;CR002;Tunggal;Kacang babi, kering;11,6;341;30,4;3,2;51,3;4,5;3,5;178;521;6,8;13;1.768,00;0,82;3,1;-;-;87;0,23;0,33;2,8;-;80;Kacang;KZGPI-1990;;;;;;;;
333;CR003;Tunggal;Kacang belimbing (kecipir), kering;10,4;400;34,4;16,9;34,1;10,7;4,2;468;182;6,8;37;955;2,82;2;-;-;-;0,3;0,44;3;-;100;Kacang;KZGPI-1990;;;;;;;;
334;CR004;Tunggal;Kacang beracun, segar;72,1;118;4,4;1,5;21,6;-;0,4;50;50;1,7;10;40;0,3;1;-;-;-;0,43;-;-;-;-;Kacang;KZGMI-2001;;;;;;;;
335;CR005;Tunggal;Kacang bogor, kering;10;370;16;6;65;26,3;3;85;264;4,2;44;868,8;1,48;2,7;-;-;-;0,18;0,26;-;-;100;Kacang;DABM-1964;;;;;;;;
336;CR006;Tunggal;Kacang bogor, segar;60,8;165;7,7;3,1;27,4;2,5;1;96;126;5,3;6;537;0,41;1,2;-;29;-;0,32;0,35;2,7;-;100;Kacang;KZGPI-1990;;;;;;;;
337;CR007;Tunggal;Kacang endel, biji, kering;14;331;25;1;58;23,6;2;80;400;5;12;1.322,40;0,68;2,7;-;-;-;0,3;0,75;2,3;-;95;Kacang;DABM-1964;;;;;;;;
338;CR008;Tunggal;Kacang ercis, segar;67,6;129;12,4;0,7;18,3;28,6;1;40;130;2,3;4;310;0,3;2,1;-;212;-;0,29;0,05;2,7;-;45;Kacang;KZGMI-2001;;;;;;;;
339;CR009;Tunggal;Kacang galing, segar;12;336;23,1;1,7;59,5;-;3,8;80;400;5;-;-;-;-;-;-;-;0,6;-;-;-;95;Kacang;DABM-1964;;;;;;;;
340;CR010;Tunggal;Kacang gude, biji, kering;16,1;316;20,7;1;58;4,6;4,2;146;445;4,7;16;1.306,20;0,99;2,7;-;19;-;0,3;0,19;2,4;-;100;Kacang;KZGPI-1990;;;;;;;;
341;CR011;Tunggal;Kacang gude, biji, segar;70,3;114;7;0,6;20,8;4,4;2,3;3;122;1,5;4;480,5;0,12;0,9;-;-;70;0,37;0,07;0,8;43;100;Kacang;DABM-1964;;;;;;;;
342;CR012;Tunggal;Kacang hijau var. bakti, kering;7,4;350;17,1;1,8;70,7;5,7;3,1;94;315;4,9;46;893,9;1,52;3,1;-;171;235;0,4;0,27;2,6;11;100;Kacang;KZGPI-1990;;;;;;;;
343;CR013;Tunggal;Kacang hijau var. siwalik, kering;8,8;339;20,8;2,1;64,6;7,4;3,7;122;136;4,9;45;880,4;1,5;3,1;-;168;321;0,45;0,27;2,6;-;100;Kacang;KZGPI-1990;;;;;;;;
344;CR014;Tunggal;Kacang hijau, kering;15,5;323;22,9;1,5;56,8;7,5;3,3;223;319;7,5;42;815,7;1,9;2,9;-;156;223;0,46;0,15;1,5;10;100;Kacang;KZGPI-1990;;;;;;;;
345;CR015;Tunggal;Kacang hitam, kering;12,5;346;16,6;1,7;66,1;22,8;3,1;70;300;4,7;3;-;0,9;3,5;-;28;-;0,16;0,1;2,1;-;100;Kacang;KZGMI-2001;;;;;;;;
346;CR016;Tunggal;Kacang kapri, segar;74,3;98;6,7;0,4;17,7;6,2;0,9;22;122;1,9;6;296,6;0,21;1,5;-;-;680;0,34;0,16;2,5;26;45;Kacang;DABM-1964;;;;;;;;
347;CR017;Tunggal;Kacang kedelai, kering;12,7;381;40,4;16,7;24,9;3,2;5,5;222;682;10;210;713,4;1,58;3,9;-;237;31;0,52;0,12;1,2;-;100;Kacang;KZGPI-1990;;;;;;;;
348;CR018;Tunggal;Kacang kedelai, segar;20;286;30,2;15,6;30,1;-;4,1;196;506;6,9;28;870,9;1,24;3,6;-;-;95;0,93;0,26;1,8;-;100;Kacang;DABM-1964;;;;;;;;
349;CR019;Tunggal;Kacang kincai, kering;4,2;444;19,9;16;55;-;4,9;26;-;-;-;-;-;-;-;-;-;0,1;0,1;1,9;-;-;Kacang;KZGMI-2001;;;;;;;;
350;CR020;Tunggal;Kacang komak, segar;20,9;327;16,4;4,3;55,8;0,5;2,6;74;282;4;22;1.137,00;0,9;2,1;-;-;-;0,99;0,12;0,1;-;45;Kacang;KZGMI-2001;;;;;;;;
351;CR021;Tunggal;Kacang kuning, kering;11,7;355;17;2,5;66;15,1;2,8;140;220;5,8;1;-;0,7;3,2;-;58;-;0,47;0,08;1,9;-;-;Kacang;KZGMI-2001;;;;;;;;
352;CR022;Tunggal;Kacang lebui /iris, kering;11,8;346;16,5;1,5;66,6;37,3;3,6;144;368;3,4;17;1.225,00;1,5;3,3;-;64;-;0,62;0,2;-;-;100;Kacang;KZGMI-2001;;;;;;;;
353;CR023;Tunggal;Kacang mentega, kering;13,7;344;16,7;2,1;64,6;13;2,9;110;300;6,7;1;10;0,7;2,5;-;0,1;-;0,21;0,07;1,2;-;-;Kacang;KZGMI-2001;;;;;;;;
354;CR024;Tunggal;Kacang merah/banda, kering;13;350;13,9;3;66,9;26,3;3,2;84;242;6,8;19;1.127,00;-;42;-;137;-;0,15;0,76;0,3;-;100;Kacang;KZGMI-2001;;;;;;;;
355;CR025;Tunggal;Kacang merah tua, kering;12,3;280;16,7;1,6;63,2;4,6;6,2;209;335;6,4;-;1.348,50;0,69;2,8;-;-;-;0,1;0,08;2;6;100;Kacang;KZGPI-l990;;;;;;;;
356;CR026;Tunggal;Kacang merah, kering;17,7;314;22,1;1,1;56,2;4;2,9;502;429;10,3;11;1.265,50;0,65;2,6;-;-;-;0,4;0,72;2,2;-;100;Kacang;KZGPI-l990;;;;;;;;
357;CR027;Tunggal;Kacang merah, segar;57,2;171;11;2,2;28;2,1;1,7;293;134;3,7;7;360,7;0,34;1,4;-;-;10;0,15;0,15;1,1;-;100;Kacang;KZGPI-l990;;;;;;;;
358;CR028;Tunggal;Kacang mete/biji jambu monyet, segar;4,6;616;16,3;48,4;28,7;0,9;2;26;521;3,8;26;692;4,7;4,1;-;5;-;0,64;0,03;-;-;69;Kacang;KZGMI-2001;;;;;;;;
359;CR029;Tunggal;Kacang panjang, biji, kering;12,2;357;17,3;1,5;68,6;10,6;0,4;163;437;6,9;16;1.109,40;0,35;2,8;-;2.182;-;0,57;0,98;7,1;2;100;Kacang;DABM-1964;;;;;;;;
360;CR030;Tunggal;Kacang tanah sangan;1,2;560;29,5;43;24,1;2,9;2,2;107;366;4,1;34;509,8;1,69;2,1;-;-;-;0,31;0,3;15,5;-;100;Kacang;KZGPI-l990;;;;;;;;
361;CR031;Tunggal;Kacang tanah sangan tanpa selaput;2,6;559;26,9;44,2;23,6;2,6;2,7;74;393;1,9;33;202,3;520,4;1,7;-;-;-;0,3;29,47;8;-;100;Kacang;DABM-1964;;;;;;;;
362;CR032;Tunggal;Kacang tanah, kering;9,6;525;27,9;42,7;17,4;2,4;2,4;316;456;5,7;31;466,5;1,55;1,9;-;-;30;0,44;0,27;1,4;-;100;Kacang;KZGPI-l990;;;;;;;;
363;CR033;Tunggal;Kacang tolo / tunggak, kering;13,5;331;24,4;1,9;56,6;1,6;3,6;481;399;13,9;15;7,8;1,03;5,9;-;65;-;0,06;0,2;4,3;-;100;Kacang;KZGPI-l990;;;;;;;;
364;CR034;Tunggal;Kacang tunis, kering;10,5;351;12,2;1,2;72,9;29,5;3,2;120;220;6,9;1;-;1,4;2,9;-;-;-;0,57;0,13;2,5;-;100;Kacang;KZGMI-2001;;;;;;;;
365;CR035;Tunggal;Kacang uci, kering;9,9;358;23,4;2,4;60,6;7,4;3,7;269;264;0,5;13;1.457,70;0,35;-;-;20;-;0,1;0,2;2,5;2;100;Kacang;KZGPI-l990;;;;;;;;
366;CR036;Tunggal;Kacang urei, kering;12,8;354;12,8;1,8;69,3;26,1;3,3;220;220;5,1;1;-;0,7;3,1;-;-;-;0,55;0,05;3,5;-;-;Kacang;KZGMI-2001;;;;;;;;
367;CR037;Tunggal;Kenari banda, kering;13;616;13,9;56,2;13,7;-;3,2;-;380;1,4;11;460;1,1;3,2;-;90;-;0,83;0,08;0,5;-;100;Kacang;KZGMI-2001;;;;;;;;
368;CR038;Tunggal;Kenari, kering;3;657;15;66;13;-;3;92;691;7,7;3;505,8;0,97;3;-;-;-;0,42;0,09;0,5;-;100;Kacang;DABM-1964;;;;;;;;
369;CR039;Tunggal;Komak polong, segar;74,3;99;3,3;0,1;21,2;10,3;1,1;50;99;13,1;15;567;0,2;0,6;-;5;-;0,13;0,03;0,2;-;100;Kacang;KZGMI-2001;;;;;;;;
370;CR040;Tunggal;Koro andong, kering;10,8;356;20,5;4,1;61,6;7;3;150;272;6,2;18;301,8;0,73;2,8;-;-;-;0,29;0,02;1,4;1;100;Kacang;KZGPI-1990;;;;;;;;
371;CR041;Tunggal;Koro benguk, biji, kering;15;332;24;3;55;5,6;3;30;200;2;42;389,2;1,25;8,7;-;-;70;0,3;0,12;1,7;-;95;Kacang;DABM-1964;;;;;;;;
372;CR042;Tunggal;Koro kerupuk, biji, segar;67,2;125;8,3;0,7;22,1;2,2;1,7;17;12;2,7;16;150,3;0,48;3,4;-;-;80;0,11;0,04;1,1;31;68;Kacang;DABM-1964;;;;;;;;
373;CR043;Tunggal;Koro loke, biji, segar;88,6;33;2,7;0,2;7,9;3,5;0,6;60;40;2;2;38,6;0,09;0,4;-;-;40;0,1;-;0,2;-;95;Kacang;DABM-1964;;;;;;;;
374;CR044;Tunggal;Koro roay, kering;13;344;12,5;2,1;69,4;7,5;3;70;103;4,4;18;294,3;0,72;2,7;-;-;28;0,11;0,21;1,4;1;100;Kacang;KZGPI-1990;;;;;;;;
375;CR045;Tunggal;Koro wedus, biji, kering;11,8;338;22,2;1,5;61;5,8;3,5;88;395;3,5;43;403,8;1,3;9,1;-;-;-;0,62;0,12;1,8;-;100;Kacang;DABM-1964;;;;;;;;
376;CR046;Tunggal;Lamtoro biji, muda, segar;77,4;85;5,7;0,3;15,4;10,8;1,2;180;53;2,7;35;485,7;0,02;1,4;-;-;423;0,08;1,15;1;15;100;Kacang;DABM-1964;;;;;;;;
377;CR047;Tunggal;Lamtoro biji, tua, segar;61,4;148;10,6;0,5;26,2;17;1,3;155;59;2,2;28;628,6;0,03;2,4;-;-;416;0,23;0,49;2,8;20;100;Kacang;DABM-1964;;;;;;;;
378;CR048;Tunggal;Lamtoro var. gung tanpa kulit;10,2;367;46,4;5,4;32,5;2,6;4,4;136;441;23,3;65;1.462,30;0,07;5,6;-;-;18.900;0,06;1,15;1;9;100;Kacang;KZGPI-1990;;;;;;;;
379;CR049;Tunggal;Lamtoro var. lokal dengan kulit;13,5;336;23,8;1,2;59,7;15,4;1,8;867;321;1,5;134;1.858,90;0,07;5,4;-;-;321;0,15;1,34;0,9;16;100;Kacang;KZGPI-1990;;;;;;;;
380;CR050;Tunggal;Nangka, biji, segar;57,7;165;4,2;0,1;36,7;1,8;1,3;33;200;1;69;179;0,12;0,2;-;-;-;0,2;0,03;1,4;10;75;Kacang;DABM-1964;;;;;;;;
381;CR051;Tunggal;Saga merah terkupas, mentah;8,1;449;30,6;25,5;31,9;3,5;3,9;1.062;161;14,2;66;1.496,50;0,07;5,7;-;9;107;0,09;1,5;10,9;7;100;Kacang;KZGPI-1990;;;;;;;;
382;CR052;Tunggal;Wijen, mentah;5,8;568;19,3;51,1;18,1;3,6;5,8;1.125;614;9,5;18;303,7;4,16;7,9;-;15;-;0,93;0,2;5,7;-;100;Kacang;DABM-1964;;;;;;;;
383;DP001;Olahan;Bayam, kukus;90,7;30;1,3;0,7;5,8;1,2;1,6;239;35;5,7;15;431;0,1;0,3;-;2.699;3.750;0,02;0,1;0,9;32;100;Sayur;KZGPI-1990;;;;;;;;
384;DP002;Olahan;Bayam, rebus;93,5;23;1,2;0,6;3,7;1,1;1;150;35;0,5;16;308,4;0,2;0,3;-;3.282;2.864;0,02;0,1;0,9;19;100;Sayur;KZGPI-1990;;;;;;;;
385;DP003;Olahan;Buncis, rebus;90,6;30;2,2;0,2;6,4;1,5;0,6;107;47;0,5;7;138,9;0,1;0,3;-;1;402;0,01;0,29;2;8;100;Sayur;KZGPI-1990;;;;;;;;
386;DP004;Olahan;Daun kacang panjang, kukus;87,2;40;3,7;0,3;8;1,8;0,8;111;66;3,7;6;419,5;0,2;0,3;-;2.645;5.781;0,15;0,2;0,9;11;100;Sayur;KZGPI-1990;;;;;;;;
387;DP005;Olahan;Daun katuk, rebus;83,3;53;5,3;0,9;9,1;1,2;1,4;185;102;3,1;16;291,3;0,3;1,3;-;11.131;9.000;-;0,3;2,2;66;100;Sayur;KZGPI-1990;;;;;;;;
388;DP006;Olahan;Daun kelor, rebus;80,3;61;6,1;0,9;10;0,9;2,6;255;36;2,1;45;181,2;0,1;0,6;-;3.972;6.071;0,1;0,1;4;13;100;Sayur;KZGPI-1990;;;;;;;;
389;DP007;Olahan;Daun mengkudu, kukus;81,6;63;3,8;1,5;11,5;2,4;1,6;300;43;6;-;-;-;-;-;2;4.900;0,08;0,1;5,2;11;100;Sayur;KZGPI-1990;;;;;;;;
390;DP008;Olahan;Daun singkong, rebus;90,5;31;3,7;0,6;4,8;1,6;0,4;160;50;2,6;13;14;0,1;2;-;3.897;4.150;0,02;0,1;1,7;34;100;Sayur;KZGPI-1990;;;;;;;;
391;DP009;Olahan;Daun talas, rebus;91,6;27;1,3;0,2;5,9;1,6;1;119;41;1,4;3;519,4;0,5;0,5;-;4.641;2.682;-;0,6;1,9;7;100;Sayur;KZGPI-1990;;;;;;;;
392;DP010;Olahan;Daun ubi merah, kukus;82,5;56;3,1;0,3;13;1,5;1,1;78;52;4,3;28;472,8;0,1;0,4;-;5.277;5.397;-;0,2;1,1;14;100;Sayur;KZGPI-1990;;;;;;;;
393;DP011;Olahan;Kacang panjang, kukus;88,2;39;3;0,6;7,6;1,7;0,6;100;91;1,2;28;199;0,11;0,5;-;131;205;0,02;0,1;0,3;20;100;Sayur;KZGPI-1990;;;;;;;;
394;DP012;Olahan;Kacang panjang, rebus;90,9;30;2,3;0,4;5,8;1,4;0,6;71;68;0,8;24;114,5;0,1;0,4;-;128;162;-;0,07;0,2;15;100;Sayur;KZGPI-1990;;;;;;;;
395;DP013;Olahan;Kangkung, kukus;90,4;30;3,2;0,7;4,7;1,8;1;70;49;4,4;45;184,9;0,1;0,4;-;2.370;5.837;0,03;0,28;1,4;11;100;Sayur;KZGPI-1990;;;;;;;;
396;DP014;Olahan;Kangkung, rebus;93;22;2,5;0,6;3,1;1,2;0,8;50;51;3,5;31;98;0,1;0,3;-;2.370;4.325;0,01;0,22;1,2;13;100;Sayur;KZGPI-1990;;;;;;;;
397;DP015;Olahan;Paria putih, kukus;95;16;0,8;0,2;3,4;1,2;0,6;16;33;0,5;4;236;-;0,7;-;187;65;0,15;0,04;0,3;35;100;Sayur;KZGPI-1990;;;;;;;;
398;DP016;Olahan;Selada, rebus;93,5;19;2,7;0,2;2,9;0,7;0,7;83;74;1,4;24;160,7;0,05;0,3;-;2.499;3.700;0,08;0,2;0,6;27;100;Sayur;KZGPI-1990;;;;;;;;
399;DP017;Olahan;Taoge, goreng;79,2;88;3,2;2,1;14;0,7;1,5;168;50;5,7;-;-;-;-;2;-;613;0,05;-;-;-;100;Sayur;KZGPI-1990;;;;;;;;
400;DP018;Olahan;Taoge, seduh;91,9;28;3;0,8;4;1;0,3;52;73;0,5;18;58,3;0,19;0,4;-;46;18;0,1;-;0,9;2;87;Sayur;KZGPI-1990;;;;;;;;
401;DP019;Olahan;Terung panjang, kukus;92,7;23;1,8;0,1;4,9;0,4;0,5;40;13;0,5;9;57;67,1;0,2;-;99;20;-;0,07;0,7;1;100;Sayur;KZGPI-1990;;;;;;;;
402;DP020;Olahan;Wortel, rebus;92,1;28;0,7;0,5;6,3;0,8;0,4;46;28;0,6;41;117,3;0,1;0,2;-;3.824;5.396;0,01;0,03;0,7;12;100;Sayur;KZGPI-1990;;;;;;;;
403;DP021;Olahan;Wortel, kukus;89,5;37;1;0,6;8,3;1,1;0,6;44;30;0,6;43;122,5;0,11;0,3;-;3.994;7.150;0,02;0,03;0,8;14;100;Sayur;KZGPI-1990;;;;;;;;
404;DP022;Olahan;Asinan Bogor, sayuran;78;98;3,9;2,6;14,8;0,5;0,7;314;17;1,2;483;-;-;-;10;-;146;0,28;-;-;5;100;Sayur;KZGMS-1993;;;;;;;;
405;DP023;Olahan;Anyang, sayur;76,9;126;3,4;7,9;10,3;5,4;1,5;180;1;2,9;290;181;0,3;1,2;-;3.263;-;0,2;-;-;-;100;Sayur;KZGMI-2001;;;;;;;;
406;DP024;Olahan;Ares, sayur;77,7;113;0,9;7,2;11,2;4,7;3;63;5;1,5;1.413;1.030,00;0,7;3,8;-;6;-;0,1;-;0,5;-;100;Sayur;KZGMI-2001;;;;;;;;
407;DP025;Olahan;Arwan sirsir;59;277;2,4;25;10,7;4,6;2,9;120;40;2,4;240;320;0,2;0,9;-;1.578;-;0,1;0,2;-;11;100;Sayur;KZGMI-2001;;;;;;;;
408;DP026;Olahan;Beberuk;89,1;65;1,1;5,2;3,5;3,1;1,1;179;72;8,3;53;427;0,4;0,2;-;44;-;0,3;-;4,4;-;100;Sayur;KZGMI-2001;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;(g);(kal);(g);(g);(g);(g);(g);(mg);(mg);(mg);(mg);(mg);(mg);(mg);(mcg);(mcg);(mcg);(mg);(mg);(mg);(mg);(%);;;;;;;;;;
409;DP027;Olahan;Botok lamtoro;63,9;186;11,7;9,7;13;2,1;2,2;771;322;26;-;-;-;-;18;-;179;0,27;-;-;2;100;Sayur;KZGPI-1990;;;;;;;;
410;DP028;Olahan;Buntil daun talas;74,5;141;4,4;10,2;8;1,8;3;149;121;14,5;-;-;-;-;13;-;8.610;0,25;-;-;1;100;Sayur;KZGPI-1990;;;;;;;;
411;DP029;Olahan;Cammetutu;79,6;102;3,2;6;8,7;4,3;2,5;41;93;0,5;443;518;0,3;0,7;-;1.123;-;0,3;0,4;0,4;19;100;Sayur;KZGMI-2001;;;;;;;;
412;DP030;Olahan;Cap cai, sayur;82,7;97;5,8;6,3;4,2;0,6;1;287;89;1,8;405;-;-;-;45;-;1.640;0,21;-;-;1;100;Sayur;KZGMS-1993;;;;;;;;
413;DP031;Olahan;Gado-gado;68,5;137;6,1;3,2;21;1,1;1,5;301;135;7,5;-;-;-;-;3;-;5.929;0,1;-;-;1;100;Sayur;KZGPI-1990;;;;;;;;
414;DP032;Olahan;Gudeg, sayur;69,2;160;3,3;9,2;16;2,3;2,1;62;55;12,8;-;-;-;-;-;-;166;0,15;-;-;-;100;Sayur;KZGPI-1990;;;;;;;;
415;DP033;Olahan;Gulai pakis;76,1;143;4;11,4;6;1,4;2,6;548;124;1,7;-;-;-;-;11;-;9.802;0,35;-;-;1;100;Sayur;KZGPI-1990;;;;;;;;
416;DP034;Olahan;Gulai pliek;71,9;176;7,3;14,9;3,2;-;2,7;39;54;1,4;257;285;0,3;0,6;-;-;-;-;-;-;-;100;Sayur;KZGMI-2001;;;;;;;;
417;DP035;Olahan;Kadada katembe;80;110;4,5;6,9;7,1;3,9;1,5;26;77;-;178;131;0,2;0,7;-;46;-;0,1;-;3,7;23;100;Sayur;KZGMI-2001;;;;;;;;
418;DP036;Olahan;Kaparende, sayur;91,7;38;2,4;2;2,6;1,5;1,3;126;68;-;170;43;-;0,3;-;40;-;0,1;-;3,7;22;100;Sayur;KZGMI-2001;;;;;;;;
419;DP037;Olahan;Karedok, sayur;79;92;2,2;3,3;14,1;1,4;1,4;174;85;2,4;-;-;-;-;-;-;1;0,08;-;-;3;100;Sayur;KZGPI-1990;;;;;;;;
420;DP038;Olahan;Keripik bayam;2,3;586;4,9;40,6;50,2;0,5;1,9;236;117;3,6;-;-;-;-;-;-;4.544;0,16;-;-;-;100;Sayur;KZGPI-1990;;;;;;;;
421;DP039;Olahan;Kotiu hinela tawang nggole;88,4;46;2,2;1,5;6;3,8;1,9;64;44;-;316;103;1,6;0,8;-;75;-;0,3;-;9,7;7;100;Sayur;KZGMI-2001;;;;;;;;
422;DP040;Olahan;Lema/Rebung asam;96,3;15;1;0,4;1,9;-;0,4;17;230;2,9;3;156;0,1;0,7;-;-;-;0,3;-;-;-;100;Sayur;KZGMI-2001;;;;;;;;
423;DP041;Olahan;Lilin bungkus gedi;84,8;79;2,3;5,2;5,8;2,5;1,9;170;70;0,9;170;50;0,2;0,8;-;-;-;0,2;0,1;-;18;100;Sayur;KZGMI-2001;;;;;;;;
424;DP042;Olahan;Olah-olah;83,9;9;2,1;6;7,1;4,4;0,9;26;3;1,2;289;266;0,3;0,6;-;36;-;0,2;0,1;0,4;-;100;Sayur;KZGMI-2001;;;;;;;;
425;DP043;Olahan;Paku hinela wulelenggapaya;83,4;77;3,5;4,6;5,4;3,6;3,1;63;85;-;469;37;0,3;0,7;-;55;-;0,8;0,1;0,2;4;100;Sayur;KZGMI-2001;;;;;;;;
426;DP044;Olahan;Pelecing kangkung;83,8;75;2,5;2,8;10;5,4;0,9;36;3;2,1;408;381;0,1;0,4;-;870;-;0,7;-;0,2;12;100;Sayur;KZGMI-2001;;;;;;;;
427;DP045;Olahan;Purundawa;91,8;25;1,5;0,5;3,6;1,7;2,6;147;39;-;239;201;0,1;0,6;-;55;-;0,1;0,1;11,6;2;100;Sayur;KZGMI-2001;;;;;;;;
428;DP046;Olahan;Rujak cingur;70,1;153;11,3;8,4;8;1,4;1,4;256;143;4,4;-;-;-;-;18;-;2.880;0,16;-;-;2;100;Sayur;KZGPI-1990;;;;;;;;
429;DP047;Olahan;Sayur asem;93,2;29;0,7;0,6;5;0,6;0,8;40;61;3,1;-;-;-;-;14;-;2.075;0,1;-;-;0,3;100;Sayur;KZGPI-1990;;;;;;;;
430;DP048;Olahan;Sayur bunga pepaya;83,4;49;1,7;0,3;9,8;2,7;2,1;220;220;1,3;90;350;0,1;0,1;-;372;-;-;0,1;-;-;100;Sayur;KZGMI-2001;;;;;;;;
431;DP049;Olahan;Sayur garu;70,8;178;2,6;13,9;10,6;8,4;2,1;30;130;0,9;20;120;0,1;0,3;-;-;-;0,2;0,1;-;9;100;Sayur;KZGMI-2001;;;;;;;;
432;DP050;Olahan;Sayur kohu-kohu;72,8;133;7,3;6,6;11,2;1,2;2,1;40;120;0,2;20;50;0,1;0,3;-;944;-;0,2;0,2;-;9;100;Sayur;KZGMI-2001;;;;;;;;
433;DP051;Olahan;Sayur lilin-terubuk;90,4;36;2,7;0,7;4,8;1,4;1,4;10;90;0,1;30;44;0,2;1;-;-;-;0,3;0,2;-;18;100;Sayur;KZGMI-2001;;;;;;;;
434;DP052;Olahan;Sayur ndusuk;87,5;49;3,1;2,5;3,6;-;3,1;11;6;0,5;1.011;88;-;0,2;-;-;-;0,2;0,1;-;15;100;Sayur;KZGMI-2001;;;;;;;;
435;DP053;Olahan;Sayur sop;92,7;27;1,3;2;1;0,3;2,7;168;57;1,8;-;-;-;-;20;-;2.569;0,1;-;-;0,2;100;Sayur;KZGPI-1990;;;;;;;;
436;DP054;Olahan;Sayur umbut kelapa;85,5;67;5,2;2,9;5,1;1,4;1,3;48;81;3,2;313;108;0,2;1,1;-;21;-;0,2;-;-;5;100;Sayur;KZGMI-2001;;;;;;;;
437;DP055;Olahan;Sayur umbut rotan;87,6;57;5,4;2,6;3,1;1,6;1,3;184;135;1,2;256;81;0,2;0,9;-;18;-;0,2;-;-;6;100;Sayur;KZGMI-2001;;;;;;;;
438;DP056;Olahan;Shabu-shabu;87,1;88;3,2;8;0,8;0,9;0,9;217;48;2,9;514;-;-;-;82;-;2.000;0,2;-;-;-;100;Sayur;KZGMS-1993;;;;;;;;
439;DP057;Olahan;Semur jengkol;52,7;212;6;10;29,1;-;2,2;77;99;1;-;-;-;-;-;-;81;0,14;-;-;4;100;Sayur;KZGMS-1993;;;;;;;;
440;DP058;Olahan;Tinira ninahu nggaluku;91,8;33;1,2;1,3;4,1;3,1;1,5;35;35;-;161;119;0,2;0,7;-;6;-;0,3;-;3,5;10;100;Sayur;KZGMI-2001;;;;;;;;
