No;Kode;Mentah;Sumber;Air (g);Energi (kal);Protein (g);Lemak (g);Karbohidrat (g);Serat (g);Abu (g);Kalsium (mg);Fosfor (mg);Besi (mg);Natrium (mg);Kalium (mg);Tembaga (mg);Seng (mg);Retinol (mcg);B-Karoten (mcg);Karoten Total (mcg);Thiamin (mg);Riboflavin (mg);Niasin (mg);Vitamin C (mg);BDD (%);Kelompok Makanan;Regulasi
1084;KR006;Tunggal;Lemak kerbau (lemak sapi);5.0;818;1.5;90.0;-;-;3.5;-;-;-;29;25.8;-;-;-;-;-;-;-;0.7;-;100;Lemak;DABM-1964
1085;KR007;Tunggal;Minyak hiu, hati;-;902;-;100.0;-;-;-;-;-;-;-;-;-;-;21212;-;-;-;-;-;-;100;Lemak;DABM-1964
1086;KR008;Tunggal;Minyak ikan;-;902;-;100.0;-;-;-;-;-;-;-;-;-;-;24242;-;-;-;-;-;-;100;Lemak;DABM-1964
1087;KR009;Tunggal;Minyak kacang tanah;-;902;-;100.0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;100;Lemak;DABM-1964
1088;KR010;Tunggal;Minyak kedelai;0.1;883;-;99.9;-;-;-;-;-;-;-;0.1;-;-;-;-;-;-;-;-;-;100;Lemak;FCTEA-1972
1089;KR011;Tunggal;Minyak kelapa;-;870;1.0;98.0;-;-;1.0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;100;Lemak;DABM-1964
1090;KR012;Tunggal;Minyak kelapa sawit;-;884;-;100.0;-;-;-;10;5;-;2;20;-;-;-;18181;-;-;-;-;-;100;Lemak;DABM-1964
1091;KR013;Tunggal;Minyak wijen;0.1;881;0.2;99.7;-;-;-;14;-;0.1;7;-;-;-;-;-;-;0.01;0.07;0.1;-;100;Lemak;FCTEA-1972
1092;KR014;Tunggal;Minyak Zaitun;-;884;-;100.0;-;-;-;-;-;1.2;-;-;-;-;-;-;-;-;5.0;-;100;Lemak;DABM-1964
1093;MP001;Olahan;Coklat manis, batang;1.4;527;2.0;29.8;62.7;6.5;4.1;63;287;2.8;6;499.5;-;0.0;-;30;-;0.03;0.02;-;-;100;Gula;DABM-1964
