Code,Foods,Synonyms,energy,water,protein,fat,carbohydr.,dietary fiber,minerals,org. acids,alcohol,Vit. A,retinol,carotene,Vit. D,Vit. E (eq.),Vit. E,Vit. K,Vit. B1,Vit. B2,niacine,niacineequiv.,pantoth. acid,Vit. B6,biotine,folic acid eq.,tot. fol.acid,free fol.acid,Vit. B12,Vit. C,sodium,potassium,calcium,magnesium,phosphorus,sulfur,chlorine,iron,zinc,copper,manganese,fluorine,iodine,mannit,sorbit,xylit
ZIN0167,arbei,,"      218,000",,"        0,700","        0,400","       12,800","        5,000",,,,"       16,000","        0,000",,"        0,000","        1,000",,,"        0,030","        0,040","        0,400",,"        0,240","        0,060",,,"       34,000",,"        0,000","       21,000","        0,000","      196,000","       32,000","       20,000","       21,000",,,"        0,600","        0,300","        0,140","        1,290",,,,,
ZIN0168,asam mangga,,"      272,000",,"        0,500","        0,300","       17,000","        1,800",,,,"       10,000","        0,000",,"        0,000","        1,000",,,"        0,060","        0,060","        0,600",,"        0,160","        0,130",,,"        5,000",,"        0,000","       43,000","        2,000","      156,000","       10,000","        9,000","       11,000",,,"        0,100","        0,000","        0,110","        0,030",,,,,
ZIN0169,asam masak di pohon,,"     1067,000",,"        2,700","        0,400","       67,200","        3,400",,,,"        1,000","        0,000",,"        0,000","        1,000",,,"        0,140","        0,080","        0,700",,"        0,040","        0,210",,,"        3,000",,"        0,000","        3,000","       10,000","      638,000","       42,000","       28,000","       82,000",,,"        1,800","        0,300","        0,260","        0,260",,,,,
ZIN0170,belimbing,,"      134,000",,"        0,600","        0,400","        7,200","        0,500",,,,"       37,000","        0,000",,"        0,000","        0,000",,,"        0,080","        0,020","        0,200",,"        0,210","        0,140",,,"        2,000",,"        0,000","       10,000","        2,000","      116,000","        8,000","       11,000","        9,000",,,"        0,200","        0,100","        0,030","        0,040",,,,,
ZIN0171,belimbing wuluh,,"      134,000",,"        0,600","        0,400","        7,200","        0,500",,,,"       37,000","        0,000",,"        0,000","        0,000",,,"        0,080","        0,020","        0,200",,"        0,210","        0,140",,,"        2,000",,"        0,000","       10,000","        2,000","      116,000","        8,000","       11,000","        9,000",,,"        0,200","        0,100","        0,030","        0,040",,,,,
ZIN0172,buah pisang susu,,"      385,000",,"        1,000","        0,500","       23,400","        2,400",,,,"        8,000","        0,000",,"        0,000","        0,000",,,"        0,050","        0,100","        0,500",,"        0,260","        0,580",,,"       19,000",,"        0,000","        9,000","        1,000","      396,000","        6,000","       29,000","       20,000",,,"        0,300","        0,200","        0,100","        0,150",,,,,
ZIN0173,bungkil kelapa,,"     1552,000",,"        1,700","       16,800","       57,600","        4,500",,,,"        0,000","        0,000",,"        0,000","        1,000",,,"        0,040","        0,020","        0,300",,"        0,150","        0,030",,,"       13,000",,"        0,000","        2,000","       11,000","      179,000","        8,000","       16,000","       58,000",,,"        1,300","        0,600","        0,240","        0,760",,,,,
ZIN0174,cempedak,,"      485,000",,"        0,800","        0,200","       31,200","        2,300",,,,"       91,000","        0,000",,"        0,000","        0,000",,,"        0,050","        0,050","        0,800",,"        0,230","        0,240",,,"       26,000",,"        0,000","       11,000","        5,000","      465,000","        2,000","       32,000","       28,000",,,"        0,600","        0,100","        0,070","        0,150",,,,,
ZIN0175,cerme,,"      247,000",,"        0,200","        0,400","       15,300","        2,700",,,,"        5,000","        0,000",,"        0,000","        1,000",,,"        0,020","        0,010","        0,100",,"        0,060","        0,050",,,"        3,000",,"        0,000","        6,000","        0,000","      115,000","        7,000","        5,000","        7,000",,,"        0,200","        0,000","        0,040","        0,050",,,,,
ZIN0176,cimplukan,,"      126,000",,"        0,100","        0,200","        7,700","        1,400",,,,"        3,000","        0,000",,"        0,000","        1,000",,,"        0,010","        0,010","        0,100",,"        0,030","        0,030",,,"        2,000",,"        0,000","        3,000","        0,000","       58,000","        4,000","        3,000","        4,000",,,"        0,100","        0,000","        0,020","        0,030",,,,,
