Code,Foods,Synonyms,energy,water,protein,fat,carbohydr.,dietary fiber,minerals,org. acids,alcohol,Vit. A,retinol,carotene,Vit. D,Vit. E (eq.),Vit. E,Vit. K,Vit. B1,Vit. B2,niacine,niacineequiv.,pantoth. acid,Vit. B6,biotine,folic acid eq.,tot. fol.acid,free fol.acid,Vit. B12,Vit. C,sodium,potassium,calcium,magnesium,phosphorus,sulfur,chlorine,iron,zinc,copper,manganese,fluorine,iodine,mannit,sorbit,xylit
ZIN0218,mangga keong masak,,"      272,000",,"        0,500","        0,300","       17,000","        1,800",,,,"       10,000","        0,000",,"        0,000","        1,000",,,"        0,060","        0,060","        0,600",,"        0,160","        0,130",,,"        5,000",,"        0,000","       43,000","        2,000","      156,000","       10,000","        9,000","       11,000",,,"        0,100","        0,000","        0,110","        0,030",,,,,
ZIN0219,mangga kopek,,"      272,000",,"        0,500","        0,300","       17,000","        1,800",,,,"      400,000","        0,000",,"        0,000","        1,000",,,"        0,060","        0,060","        0,600",,"        0,160","        0,130",,,"       14,000",,"        0,000","       36,000","        2,000","      156,000","       10,000","        9,000","       11,000",,,"        0,100","        0,000","        0,110","        0,030",,,,,
ZIN0220,mangga kopyor,,"      272,000",,"        0,500","        0,300","       17,000","        1,800",,,,"      400,000","        0,000",,"        0,000","        1,000",,,"        0,060","        0,060","        0,600",,"        0,160","        0,130",,,"       14,000",,"        0,000","       36,000","        2,000","      156,000","       10,000","        9,000","       11,000",,,"        0,100","        0,000","        0,110","        0,030",,,,,
ZIN0221,mangga krasak,,"      272,000",,"        0,500","        0,300","       17,000","        1,800",,,,"       10,000","        0,000",,"        0,000","        1,000",,,"        0,060","        0,060","        0,600",,"        0,160","        0,130",,,"        5,000",,"        0,000","       43,000","        2,000","      156,000","       10,000","        9,000","       11,000",,,"        0,100","        0,000","        0,110","        0,030",,,,,
ZIN0222,mangga kuweni,,"      272,000",,"        0,500","        0,300","       17,000","        1,800",,,,"       10,000","        0,000",,"        0,000","        1,000",,,"        0,060","        0,060","        0,600",,"        0,160","        0,130",,,"        5,000",,"        0,000","       43,000","        2,000","      156,000","       10,000","        9,000","       11,000",,,"        0,100","        0,000","        0,110","        0,030",,,,,
ZIN0223,mangga masak,,"      272,000",,"        0,500","        0,300","       17,000","        1,800",,,,"      400,000","        0,000",,"        0,000","        1,000",,,"        0,060","        0,060","        0,600",,"        0,160","        0,130",,,"       14,000",,"        0,000","       36,000","        2,000","      156,000","       10,000","        9,000","       11,000",,,"        0,100","        0,000","        0,110","        0,030",,,,,
ZIN0224,mangga muda,,"      272,000",,"        0,500","        0,300","       17,000","        1,800",,,,"       10,000","        0,000",,"        0,000","        1,000",,,"        0,060","        0,060","        0,600",,"        0,160","        0,130",,,"        5,000",,"        0,000","       43,000","        2,000","      156,000","       10,000","        9,000","       11,000",,,"        0,100","        0,000","        0,110","        0,030",,,,,
ZIN0225,mangga nanas,,"      272,000",,"        0,500","        0,300","       17,000","        1,800",,,,"      400,000","        0,000",,"        0,000","        1,000",,,"        0,060","        0,060","        0,600",,"        0,160","        0,130",,,"       14,000",,"        0,000","       36,000","        2,000","      156,000","       10,000","        9,000","       11,000",,,"        0,100","        0,000","        0,110","        0,030",,,,,
ZIN0226,mangga pakel,,"      272,000",,"        0,500","        0,300","       17,000","        1,800",,,,"       10,000","        0,000",,"        0,000","        1,000",,,"        0,060","        0,060","        0,600",,"        0,160","        0,130",,,"        5,000",,"        0,000","       43,000","        2,000","      156,000","       10,000","        9,000","       11,000",,,"        0,100","        0,000","        0,110","        0,030",,,,,
ZIN0227,mangga sengir masak,,"      272,000",,"        0,500","        0,300","       17,000","        1,800",,,,"       10,000","        0,000",,"        0,000","        1,000",,,"        0,060","        0,060","        0,600",,"        0,160","        0,130",,,"        5,000",,"        0,000","       43,000","        2,000","      156,000","       10,000","        9,000","       11,000",,,"        0,100","        0,000","        0,110","        0,030",,,,,
