(g);;;;;(kal);(g);(g);(g);(g);(g);(mg);(mg);(mg);(mg);(mg);(mg);(mg);(mcg);(mcg);(mcg);(mg);(mg);(mg);(mg);(%);;;;;;;;;;
18;AP018;Olahan;Tapai ketan putih;58,9;172;3;0,5;37,5;0,6;0,1;6;35;0,5;1;-;-;-;-;-;-;0,04;-;0,2;-;100;Serealia;KZGPI-1990;;;;;;;;
19;AP019;Olahan;Maizena, tepung;14;341;0,3;-;85;7;0,7;20;30;1,5;6;9;0,22;1,6;-;-;-;-;0,09;1,3;-;100;Serealia;DABM-1964;;;;;;;;
20;AP020;Olahan;Makaroni, mentah;11,7;353;8,7;0,4;78,7;4,9;2,5;20;80;0,3;5;-;0,28;1,4;-;-;-;0,1;0,13;2,2;-;100;Serealia;DABM-1964;;;;;;;;
21;AP021;Olahan;Mi basah;80;88;0,6;3,3;14;0,1;2,1;14;13;6,8;63;13,5;0,06;0,4;-;-;-;-;-;-;-;100;Serealia;DABM-1964;;;;;;;;
22;AP022;Olahan;Mi kering;10,6;339;10;1,7;6,3;0,4;1,4;31;143;3,9;760;83;0,29;1,9;-;-;-;-;0,08;2,2;-;100;Serealia;KZGPI-1990;;;;;;;;
23;AP023;Olahan;Misoa;10;345;8,5;2,2;78;0,5;1,3;52;120;8,7;3.064;44;0,08;-;-;-;-;-;0,02;0,2;-;100;Serealia;KZGPI-1990;;;;;;;;
24;AP024;Olahan;Roti putih;40;248;8;1,2;50;9,1;0,8;10;95;1,5;530;91;0,15;0,9;-;-;-;0,1;0,29;2,4;-;100;Serealia;DABM-1964;;;;;;;;
25;AP025;Olahan;Tepung terigu;11,8;333;9;1;77,2;0,3;1;22;150;6,3;2;-;0,02;2,8;-;-;-;0,35;0,47;1;-;100;Serealia;KZGPI-1990;;;;;;;;
26;AP026;Olahan;Amparan tatak;58,4;191;1,3;5,5;34;-;0,8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;100;Serealia;KZGMI-2001;;;;;;;;
27;AP027;Olahan;Apang kukus, kue;49,5;202;3;0,3;46,7;-;0,5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;100;Serealia;KZGMI-2001;;;;;;;;
28;AP028;Olahan;Apem, kue;63,1;148;2;0,5;33,9;-;0,5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;100;Serealia;KZGMI-2001;;;;;;;;
29;AP029;Olahan;Biskuit;2,2;458;6,9;14,4;75,1;2,1;1,4;62;87;2,7;241;20,3;0,16;0,6;-;14;-;0,09;0,15;1,4;-;100;Serealia;DABM-1964;;;;;;;;
30;AP030;Olahan;Bakpia, kue;38,9;272;8,7;6,7;44,1;0,9;1,6;194;117;4,5;-;-;-;-;-;-;1.392;0,31;1;2,9;-;100;Serealia;KZGPI-1990;;;;;;;;
31;AP031;Olahan;Bakwan;40,5;280;8,2;10,2;39;3,4;2,1;204;79;7;-;-;-;-;-;-;-;0,08;-;-;-;100;Serealia;KZGPI-1990;;;;;;;;
32;AP032;Olahan;Bantal;52,3;190;3,3;0,3;43,5;3,4;0,6;9;-;0,4;164;84;0,2;0,9;-;-;-;0,27;0,02;3,6;-;100;Serealia;KZGMI-2001;;;;;;;;
33;AP033;Olahan;Baruasa;5,3;417;6,5;8,2;79,3;-;0,7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;100;Serealia;KZGMI-2001;;;;;;;;
34;AP034;Olahan;Batar daan;75,3;107;2,2;2,2;19,6;-;0,7;20;30;0,6;200;90;0,1;-;-;-;-;0,18;0,02;-;-;100;Serealia;KZGMI-2001;;;;;;;;
35;AP035;Olahan;Bika ambon;51,5;199;2,1;1,5;44,4;0,3;0,6;45;28;1,8;-;-;-;-;-;-;408;0,1;-;-;-;100;Serealia;KZGPI-1990;;;;;;;;
36;AP036;Olahan;Bingka;44,4;273;5,3;10,6;39,1;-;0,6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;100;Serealia;KZGMI-2001;;;;;;;;
37;AP037;Olahan;Bobengka;46,3;225;5,3;2,6;45,2;-;0,6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;100;Serealia;KZGMI-2001;;;;;;;;
38;AP038;Olahan;Bolu peca;55,6;197;3,3;4,6;35,6;-;0,9;-;-;-;-;-;-;-;-;-;-;-;-;-;-;100;Serealia;KZGMI-2001;;;;;;;;
39;AP039;Olahan;Brem;37,4;249;3,4;0,4;58;-;0,9;198;86;2;-;-;-;-;-;-;240;0,34;-;-;-;100;Serealia;KZGPI-1990;;;;;;;;
40;AP040;Olahan;Bubur tinotuan (Manado);80,9;156;2,3;0,2;15,6;8,2;1;41;20;0,4;486;164;0,3;0,4;-;1.437;-;0,1;0,04;-;15;100;Serealia;KZGMI-2001;;;;;;;;
41;AP041;Olahan;Cake tape;32,2;323;4,9;11,5;50,1;1,4;1,4;131;83;2,6;-;-;-;-;26;-;1.872;0,38;0,16;0,3;-;100;Serealia;KZGMI-2001;;;;;;;;
42;AP042;Olahan;Cangkuning;57,5;204;2,8;7,5;31,4;-;0,8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;100;Serealia;KZGMI-2001;;;;;;;;
43;AP043;Olahan;Dodol bali;26,5;298;3,7;2,1;65,9;0,4;1,8;70;76;2,5;-;-;-;-;-;-;496;0,28;-;2,5;-;100;Serealia;KZGPI-1990;;;;;;;;
44;AP044;Olahan;Dodol galamai;16,5;348;0,4;3,8;76,1;0,5;1,2;41;144;2,6;38;76;0,3;2,1;-;-;-;0,03;0,06;1,8;-;100;Serealia;KZGMI-2001;;;;;;;;
