(g);;;;;(kal);(g);(g);(g);(g);(g);(mg);(mg);(mg);(mg);(mg);(mg);(mg);(mcg);(mcg);(mcg);(mg);(mg);(mg);(mg);(%);;;;;;;;;;
134;AR020;Tunggal;Jawawut, mentah;11,9;364;9,7;3,5;73,4;8,2;1,5;28;311;5,3;7;255,1;0,45;1,5;-;33;-;0,33;0,28;4,5;-;100;Serealia;DABM-1964;;;;;;;;
135;AR021;Tunggal;Jampang huma, mentah;11,7;350;6,2;1,4;78,2;1,7;2,5;329;254;5,3;53;396,7;0,7;1,6;-;33;-;0,51;0,3;0,7;-;100;Serealia;DABM-1964;;;;;;;;
136;BP001;Olahan;Batatas kelapa, ubi, bakar;73,2;110;1,4;1,1;23,4;4,5;0,7;1;46;0,2;12;230;0,2;0,3;-;-;-;1,13;-;-;-;85;Umbi;KZGMI-2001;;;;;;;;
137;BP002;Olahan;Batatas kelapa, ubi, kukus;75,7;92;1,2;0,3;21;4,1;1,8;-;42;0,2;10;209;0,2;0,3;-;-;-;0,28;-;0,7;-;100;Umbi;KZGMI-2001;;;;;;;;
138;BP003;Olahan;Batatas tali, ubi, rebus;53,2;182;2,4;0,4;42,2;9,2;1,8;1;80;0,3;20;402;0,3;0,6;-;-;-;0,27;-;1,3;-;100;Umbi;KZGMI-2001;;;;;;;;
139;BP004;Olahan;Belitung, talas, kukus;63,1;145;1,2;0,4;34,2;1;1,1;21;48;0,9;7;552,6;0,2;0,9;-;-;-;0,08;0,1;2,3;1;100;Umbi;KZGPI-1990;;;;;;;;
140;BP005;Olahan;Bentul, talas, kukus;81,1;71;2,3;0,3;15,4;0,5;0,9;29;26;0,6;-;201;0,2;0,6;-;-;-;0,06;-;-;21;100;Umbi;KZGPI-1990;;;;;;;;
141;BP006;Olahan;Gadung, ubi, kukus;77,4;88;0,6;0,3;20,9;0,9;0,8;26;47;0,4;6;584;0,2;0,2;-;-;-;0,03;-;0,4;-;100;Umbi;KZGPI-1990;;;;;;;;
142;BP007;Olahan;Ganyong, rebus;74,1;100;0,8;0,2;23,8;0,9;1,1;15;65;0,9;-;-;-;-;-;-;-;0,04;-;-;6;100;Umbi;KZGPI-1990;;;;;;;;
143;BP008;Olahan;Ketela pohon/singkong kukus;61,5;153;1,2;0,3;36,4;1,3;0,6;56;22;0,4;2;345,3;0,3;0,1;-;-;-;-;-;0,3;20;100;Umbi;KZGPI-1990;;;;;;;;
144;BP009;Olahan;Suweg, talas, kukus;75,5;93;1,5;0,1;21,9;0,9;1;50;58;0,8;6;350,3;0,1;0,1;-;-;283;0,09;-;0,3;-;100;Umbi;KZGPI-1990;;;;;;;;
145;BP010;Olahan;Talas bogor, kukus;69,2;120;1,5;0,3;28,2;0,7;0,8;31;63;0,7;11;498;0,2;0,6;-;-;-;0,05;0,6;0,8;2;100;Umbi;KZGPI-1990;;;;;;;;
146;BP011;Olahan;Ubi jalar, kuning, kukus;74,2;100;0,7;0,3;23,8;1;1;44;46;0,4;3;0,8;0,1;0,2;-;819;4.427;-;0,1;0,6;16;100;Umbi;KZGPI-1990;;;;;;;;
147;BP012;Olahan;Ubi jalar tinta/ kemayung kukus;58,5;165;0,9;0,2;39,8;1,1;0,6;20;23;0,8;1;0,9;0,1;0,2;-;-;-;0,02;0,1;0,5;-;100;Umbi;KZGPI-1990;;;;;;;;
148;BP013;Olahan;Bagea kelapa asin;3,5;450;3,2;13,9;78,1;-;1,3;38;38;0,3;74;-;0,2;0,2;-;-;-;0,3;-;-;-;100;Umbi;KZGMI-2001;;;;;;;;
149;BP014;Olahan;Bagea kelapa manis;3;452;1,3;13,8;80,6;-;1,3;38;39;0,3;75;-;0,2;0,2;-;-;0,3;-;-;-;-;100;Umbi;KZGMI-2001;;;;;;;;
150;BP015;Olahan;Bagea kenari asin;2,8;529;3,2;29,1;63,6;-;1,3;38;40;0,4;74;-;0,2;0,2;-;-;-;0,3;-;-;-;100;Umbi;KZGMI-2001;;;;;;;;
151;BP016;Olahan;Bagea kenari manis;3,1;523;3,2;28,2;64,2;-;1,3;38;39;0,3;74;-;0,2;0,2;-;-;-;0,3;-;-;-;100;Umbi;KZGMI-2001;;;;;;;;
152;BP017;Olahan;Bagea kw 1;7,2;416;6,5;9,4;76,3;0,4;0,6;49;77;4,9;-;-;-;-;13;-;312;0,08;-;2,6;-;100;Umbi;KZGPI-1990;;;;;;;;
153;BP018;Olahan;Bagea kw 2;7,9;382;0,3;3,5;87,2;0,9;1,1;172;120;7,6;-;-;-;-;-;-;-;0,02;-;-;-;100;Umbi;KZGPI-1990;;;;;;;;
154;BP019;Olahan;Beras Cerdas;11,3;350;2,7;1,1;82,3;6,2;2,6;28;351;2,9;358;568;0,2;0,9;-;0,4;-;0,02;0,2;0,3;0,2;100;Umbi;BKP;;;;;;;;
155;BP020;Olahan;Beras ganyong;9,3;364;3,4;0,7;86,3;4,7;0,5;4;47;5;4;72,2;0,2;0,6;-;1.000;0,1;0,02;0,02;0,3;0,2;100;Umbi;BKP;;;;;;;;
156;BP021;Olahan;Beras Siger;13,5;344;1,1;0,2;28,3;5,6;0,7;32;22;5,6;106;77,9;0,1;0,5;-;-;-;0,02;0,1;0,2;0,2;100;Umbi;BKP;;;;;;;;
157;BP022;Olahan;Biji nangka/Biji salak;40,5;262;2,3;5,4;51,1;8;0,7;60;80;0,8;10;2;0,6;2;-;1.667;-;0,1;1;-;10;100;Umbi;KZGMI-2001;;;;;;;;
158;BP023;Olahan;Bubur sagu;62,5;167;0,2;4;33;-;0,3;3;3;0,1;7;-;0,1;0,1;-;-;-;9;-;0,1;-;100;Umbi;KZGMI-2001;;;;;;;;
159;BP024;Olahan;Cassavastick;5,6;460;0,8;18,7;17,2;1,6;2,7;144;58;7,5;-;-;-;-;-;-;107;0,19;0,07;0,1;-;100;Umbi;KZGPI-1990;;;;;;;;
160;BP025;Olahan;Ceriping getuk singkong;7,2;462;1,2;20,7;67,7;0,6;3,2;1.248;172;8,8;-;-;-;-;-;-;152;0,29;0,02;0,5;-;100;Umbi;KZGPI-1990;;;;;;;;
161;BP026;Olahan;Gatot;12,8;347;1,3;0,7;83,8;5,8;1,4;78;44;17,1;28;242;0,2;0,7;-;-;-;0,02;0,1;0,4;0,2;100;Umbi;BKP;;;;;;;;
162;BP027;Olahan;Geblek;52,1;195;0,4;1,7;44,4;3,6;1,4;35;13;0,6;353;125;0,3;0,3;-;-;0,3;0,02;-;0,1;0,2;100;Umbi;BKP;;;;;;;;
163;BP028;Olahan;Getuk goreng;16,5;360;1,3;6,4;74,3;0,8;1,5;59;81;3,2;-;-;-;-;-;-;-;0,21;-;0,1;-;100;Umbi;KZGPI-1990;;;;;;;;
164;BP029;Olahan;Getuk singkong;49,8;204;0,5;1,4;47,4;0,8;1,1;97;52;1,5;-;-;-;-;-;-;208;0,08;-;0,1;-;100;Umbi;KZGPI-1990;;;;;;;;
165;BP030;Olahan;Gurandil;47,5;218;0,5;2,5;48,5;3,1;1;50;25;2,8;-;-;-;-;-;-;-;0,19;-;-;-;100;Umbi;KZGPI-1990;;;;;;;;
166;BP031;Olahan;Kabuto;58,9;250;2,6;2,5;35,4;1,8;0,6;35;49;1,1;2;218;-;-;-;-;-;0,1;0,1;0,6;-;100;Umbi;KZGMI-2001;;;;;;;;
167;BP032;Olahan;Kapurung;79,6;41;2;0,3;7,8;2;0,6;34;12;0,3;185;566;0,1;0,3;-;213;-;0,12;0,25;2,7;15;100;Umbi;KZGMI-2001;;;;;;;;
168;BP033;Olahan;Kecimpring singkong goreng;3,7;464;1,2;18,6;73;1,3;3,5;82;52;3,4;-;-;-;-;-;-;3.320;0,34;-;-;-;100;Umbi;KZGPI-1990;;;;;;;;
169;BP034;Olahan;Keremes;6,7;475;1,6;25,2;64,4;2,1;2,1;153;88;1;-;-;-;-;-;-;1.000;-;-;-;-;100;Umbi;KZGPI-1990;;;;;;;;
170;BP035;Olahan;Keripik gadung;4;446;2,8;14,5;76;1,7;2,8;147;52;1,9;-;-;-;-;-;-;-;0,95;-;-;-;100;Umbi;KZGPI-1990;;;;;;;;
171;BP036;Olahan;Keripik kentang;7,8;448;2,7;18,8;67,1;3,8;3,6;25;130;1,2;712;406;1,1;-;-;15;-;0,1;0,05;2,8;-;100;Umbi;KZGMI-2001;;;;;;;;
172;BP037;Olahan;Keripik singkong;4,2;478;0,9;20,7;72;2;2,2;189;101;1,9;-;-;-;-;-;-;-;0,24;-;-;-;100;Umbi;KZGPI-1990;;;;;;;;
173;BP038;Olahan;Keripik singkong berbumbu;2,2;481;2,2;19,7;73,6;1,6;2,3;156;103;1,6;-;-;-;-;-;-;80;0,31;-;-;-;100;Umbi;KZGPI-1990;;;;;;;;
174;BP039;Olahan;Keripik ubi;6;486;0,2;23,9;67,6;14,3;2,3;68;92;0,9;52;2;0,7;2,3;-;920;-;0,1;0,1;0,5;-;100;Umbi;KZGMI-2001;;;;;;;;
175;BP040;Olahan;Kerupuk cumi goreng;3,4;444;6,9;14,6;71,3;5;3,8;47;375;1,8;837;191;0,1;0,3;-;-;-;0,4;0,1;1,8;-;100;Umbi;KZGMI-2001;;;;;;;;
176;BP041;Olahan;Kerupuk kemplang (ikan) mentah;14,2;325;1,8;0,4;78,5;4,5;5,1;59;268;2,3;1.123;273;0,2;0,5;32;-;-;0,6;0,1;2,3;-;100;Umbi;KZGMI-2001;;;;;;;;
177;BP042;Olahan;Kerupuk kemplang goreng;5,8;504;5,6;28,1;57,1;0,3;3,4;50;94;2,9;-;-;-;-;6;-;280;0,31;-;-;-;100;Umbi;KZGPI-1990;;;;;;;;
178;BP043;Olahan;Kerupuk kemplang panggang;9,4;356;9,7;1,1;76,9;1;3;62;129;2,9;-;-;-;-;7;-;280;0,36;-;-;-;100;Umbi;KZGPI-1990;;;;;;;;
179;BP044;Olahan;Kerupuk mie kuning goreng;7,2;476;0,1;21,1;71,3;4,2;0,3;57;36;4,6;-;109;0,1;0,2;-;-;333;0,22;-;0,9;-;100;Umbi;KZGPI-1990;;;;;;;;
180;BP045;Olahan;Kerupuk udang goreng;4,4;477;4,7;20,5;68,5;5;1,9;24;188;0,9;449;109;0,1;0,2;-;-;-;0,2;-;0,9;-;100;Umbi;KZGMI-2001;;;;;;;;
181;BP046;Olahan;Kue bangket;16,1;338;1,5;1,2;80,3;-;0,9;34;35;0,3;67;-;0,2;0,2;-;-;-;0,3;-;-;-;100;Umbi;KZGMI-2001;;;;;;;;
182;BP047;Olahan;Kue putu singkong;44,2;217;1,2;0,5;53,2;2,4;0,9;48;68;1,5;3;305;-;-;-;-;-;0,1;0,1;0,8;-;100;Umbi;KZGMI-2001;;;;;;;;
183;BP048;Olahan;Lanting getuk;4,2;422;0,9;10,8;80,4;1,4;3,8;206;104;3,6;-;-;-;-;-;-;-;0,43;-;-;-;100;Umbi;KZGPI-1990;;;;;;;;
184;BP049;Olahan;Mi golosor;82,9;71;0,2;0,8;15,9;0,1;0,2;117;5;0,2;-;-;-;-;-;-;112;0,05;0,02;-;-;100;Umbi;KZGPI-1990;;;;;;;;
185;BP050;Olahan;Mie Bendo;11,5;353;0,3;-;88;2,4;0,2;28;14;2,8;9;49,2;0,5;0,1;-;2.000;-;0,02;-;0,1;0,2;100;Umbi;BKP;;;;;;;;
186;BP051;Olahan;Mie Sagu;52,8;190;0,2;0,4;46,5;1,4;0,1;8;7;0,3;10;2,6;0,1;-;-;2.000;-;-;0,4;-;0,2;100;Umbi;BKP;;;;;;;;
187;BP052;Olahan;Ongol-ongol sagu;75,3;111;0,3;2,7;21,2;0,3;0,5;79;15;1,7;-;-;-;-;-;-;-;0,06;-;-;-;100;Umbi;KZGPI-1990;;;;;;;;
188;BP053;Olahan;Oyek;12,6;351;0,9;0,9;84,9;4,3;0,7;60;36;2,1;5;229;0,1;0,5;-;-;-;0,02;0,02;0,5;0,2;100;Umbi;BKP;;;;;;;;
189;BP054;Olahan;Papeda;84,8;61;0,2;0,1;14,9;0,5;0,1;3;1;0,2;4;20;0,1;0,1;-;-;-;0,06;-;-;-;100;Umbi;KZGMI-2001;;;;;;;;
190;BP055;Olahan;Rasbi (Beras Ubi);11,1;394;2,2;8,8;76,6;6,8;1,3;68;76;1,6;165;388;0,4;0,4;-;-;-;0,02;0,3;1,2;0,2;100;Umbi;BKP;;;;;;;;
191;BP056;Olahan;Rasi (Beras Singkong);12,6;350;0,9;0,4;85,7;14,4;0,5;42;21;1,5;8;14;0,3;0,5;-;-;-;0,02;0,02;0,4;0,2;100;Umbi;BKP;;;;;;;;
192;BP057;Olahan;Sagu forno;31,5;291;0,5;4;63,4;-;0,6;10;20;0,8;40;50;0,1;0,2;-;-;-;-;-;-;-;100;Umbi;KZGMI-2001;;;;;;;;
193;BP058;Olahan;Sagu Lemak (Kue Sagon);4,3;452;2,8;14,8;76,8;1,1;0,7;15;39;1,1;182;52,7;0,04;0,8;-;1.220;-;0,32;0,04;0,1;0,2;100;Umbi;BKP;;;;;;;;
194;BP059;Olahan;Sagu manis;32,6;287;0,5;3,9;62,4;-;0,6;8;17;0,7;34;42;0,1;0,2;-;-;-;-;-;-;-;100;Umbi;KZGMI-2001;;;;;;;;
195;BP060;Olahan;Sagu Rendang;8,2;364;0,1;0,2;90,5;1,9;1;13;9;3,9;42;15,1;0,1;0,1;-;-;-;0,02;0,6;0,8;0,2;100;Umbi;BKP;;;;;;;;
196;BP061;Olahan;Sagu sinole;22;354;0,8;8,3;68,9;-;0,1;10;30;0,8;30;11;0,2;0,3;-;-;-;-;-;-;-;100;Umbi;KZGMI-2001;;;;;;;;
197;BP062;Olahan;Serimping talas kebumen;4,8;478;2,5;21,2;69,2;1,7;2,3;112;118;2,3;-;-;-;-;-;-;-;0,25;-;-;-;100;Umbi;KZGPI-1990;;;;;;;;
198;BP063;Olahan;Tapai singkong;57,4;169;1,4;0,3;40,2;2;0,7;21;34;0,8;-;-;-;-;-;-;-;-;-;-;9;100;Umbi;KZGPI-1990;;;;;;;;
199;BP064;Olahan;Tepung Arrowroot;13,6;355;0,7;0,2;85,2;0,4;0,3;8;22;1,5;2;10,7;-;0,1;-;20;3;0,09;-;-;-;100;Umbi;DABM-1964;;;;;;;;
200;BP065;Olahan;Tepung Ganyong;13,6;353;0,8;1,7;83,6;0,7;0,3;4;31;3,3;3;63,5;0,1;0,3;-;-;-;0,02;-;0,9;1;100;Umbi;BKP;;;;;;;;
201;BP066;Olahan;Tepung Gaplek;13;345;2,4;0,4;83,1;6,7;1,1;18;95;1,5;6;55;0,4;1,2;-;1.000;-;0,3;0,2;0,1;0,2;100;Umbi;BKP;;;;;;;;
202;BP067;Olahan;Tepung kentang, kering;13;347;0,3;0,1;85,6;0,4;1;20;30;0,5;51;156,3;0,2;0,5;-;-;-;0,04;-;0,4;-;100;Umbi;DABM-1964;;;;;;;;
203;BP068;Olahan;Tepung Mocaf;11,9;350;1,2;0,6;85;6;1,3;60;64;15,8;8;403;0,1;0,6;-;-;-;0,02;0,02;0,7;2;100;Umbi;BKP;;;;;;;;
204;BP069;Olahan;Tepung Sente;15,3;326;4;0,4;76,7;8,5;3,6;41;141;3,5;14;1.602,00;0,4;1,4;-;-;-;0,02;0,2;7,7;0,2;100;Umbi;BKP;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
