Recipe Name,Course,Ingredient,Unit,Qty
Ayam palekko,1 portion,bawang merah,gram,3
Ayam palekko,1 portion,garam,gram,2
Ayam palekko,1 portion,gula pasir,gram,5
Ayam palekko,1 portion,ketumbar bubuk,gram,1
Ayam palekko,1 portion,jintn bubuk,gram,1
Ayam palekko,1 portion,daun salam,gram,1
Ayam palekko,1 portion,jahe,gram,5
Ayam palekko,1 portion,sereh,gram,3
Ayam palekko,1 portion,lengkuas,gram,10
Ayam palekko,1 portion,minyak goreng,ml,20

otak otak bbq sc,1 portion,otak otak,gram,70
otak otak bbq sc,1 portion,bawang putih,gram,5
otak otak bbq sc,1 portion,penyedap,gram,2
otak otak bbq sc,1 portion,garam,gram,2
otak otak bbq sc,1 portion,saus tomat,gram,20
otak otak bbq sc,1 portion,cuka,ml,5
otak otak bbq sc,1 portion,merica,gram,1
otak otak bbq sc,1 portion,gula merah,gram,20
otak otak bbq sc,1 portion,minyak goreng,ml,20

ayam burger,1 portion,roti burger,pc,1
ayam burger,1 portion,ayam patties,gram,50
ayam burger,1 portion,selada,gram,10
ayam burger,1 portion,timun,gram,20
ayam burger,1 portion,tomat,gram,20
ayam burger,1 portion,saus tomat sachet,pc,1
ayam burger,1 portion,margarine,gram,10
ayam burger,1 portion,mayonaise,gram,5
ayam burger,1 portion,minyak goreng,ml,20

ayam dadu sc tomat,1 portion,ayam fillet,gram,70
ayam dadu sc tomat,1 portion,bawang putih,gram,5
ayam dadu sc tomat,1 portion,penyedap,gram,2
ayam dadu sc tomat,1 portion,garam,gram,5
ayam dadu sc tomat,1 portion,saus tomat,gram,30
ayam dadu sc tomat,1 portion,saus tiram,ml,10
ayam dadu sc tomat,1 portion,merica,gram,2
ayam dadu sc tomat,1 portion,gula pasir,gram,20
ayam dadu sc tomat,1 portion,minyak goreng,ml,20

daging bistik,1 portion,daging top side,gram,50
daging bistik,1 portion,bawang putih,gram,3
daging bistik,1 portion,bawang merah,gram,5
daging bistik,1 portion,garam,gram,2
daging bistik,1 portion,kecap manis,gram,3
daging bistik,1 portion,penyedap,gram,2
daging bistik,1 portion,ketumbar,gram,2
daging bistik,1 portion,kapulaga,gram,1
daging bistik,1 portion,kayu manis,gram,2
daging bistik,1 portion,minyak goreng,ml,10

Ayam goreng ketumbar,1 portion,ayam,gram,50
Ayam goreng ketumbar,1 portion,bawang merah,gram,5
Ayam goreng ketumbar,1 portion,bawang putih,gram,3
Ayam goreng ketumbar,1 portion,penyedap,gram,2
Ayam goreng ketumbar,1 portion,garam,gram,2
Ayam goreng ketumbar,1 portion,merica,gram,1
Ayam goreng ketumbar,1 portion,ketumbar bubuk,gram,2
Ayam goreng ketumbar,1 portion,tepung tapioka,gram,5
Ayam goreng ketumbar,1 portion,tepung S biru,gram,20
Ayam goreng ketumbar,1 portion,minyak goreng,ml,20

soto ayam,1 portion,telur,gram,70
soto ayam,1 portion,bawang putih,gram,5
soto ayam,1 portion,penyedap,gram,2
soto ayam,1 portion,garam,gram,2
soto ayam,1 portion,bawang merah,gram,3
soto ayam,1 portion,daun salam,gram,1
soto ayam,1 portion,daun jeruk,gram,1
soto ayam,1 portion,kunyit,gram,2
soto ayam,1 portion,jahe,gram,2
soto ayam,1 portion,serai,gram,3
soto ayam,1 portion,krupuk,ml,10

Ayam goreng wangi,1 portion,ayam,gram,50
Ayam goreng wangi,1 portion,bawang merah,gram,5
Ayam goreng wangi,1 portion,bawang putih,gram,3
Ayam goreng wangi,1 portion,penyedap,gram,2
Ayam goreng wangi,1 portion,garam,gram,2
Ayam goreng wangi,1 portion,merica,gram,1
